rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
71,Ishtar Music,41400000,17608931161,Trailers,Ishtar Music,4510,India,IN,Music,155,20,28,180942000,45200,723800,542800,8700000,400000,2005,Sep,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
72,Kimberly Loaiza,41300000,5603111948,People & Blogs,Kimberly Loaiza,291,Mexico,MX,People,1157,2,1,136745000,34200,547000,410200,6600000,400000,2016,Nov,16,40.2,126014024,3.42,102626859,23.634501,-102.552784
73,Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39450824833,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,2423,United States,US,Education,22,22,7,98775000,24700,395100,296300,4700000,100000,2011,Jun,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
74,Luisito Comunica,40600000,8670473639,Comedy,Luis Arturo Villar Sudek,0,Mexico,MX,Comedy,3612215,3021,,,0,0,0,0,,2010,Jun,18,40.2,126014024,3.42,102626859,23.634501,-102.552784
75,elrubiusOMG,40400000,7410536668,Gaming,elrubiusOMG,703,,,Entertainment,756,,21,5773000,1400,23100,17300,277100,,2011,Dec,20,,,,,,
76,Toys and Colors,40300000,47005053156,Entertainment,Toys and colors,4,,,People,3989650,,7330,5,0,0.02,0.02,0.24,,2018,Jun,14,,,,,,
77,shfa2 - пїЅпїЅ,39700000,23884824160,People & Blogs,shfa2 - пїЅпїЅ,1596,United Arab Emirates,AE,People,81,1,2,247731000,61900,990900,743200,11900000,300000,2017,Nov,6,36.8,9770529,2.35,8479744,23.424076,53.847818
78,LUCCAS NETO - LUCCAS TOON,39400000,22302547082,People & Blogs,LUCCAS NETO- LUCCAS TOON,1,,,Games,4057895,,7498,2,0,0.01,0.01,0.1,,2021,Mar,25,,,,,,
79,CarryMinati,39200000,3294013141,Comedy,CarryMinati,186,India,IN,Comedy,2487,21,2,78688000,19700,314800,236100,3800000,700000,2014,Oct,30,28.1,1366417754,5.36,471031528,20.593684,78.96288
80,XXXTENTACION,39200000,10507474316,Music,XXXTENTACION,133,United States,US,Music,403,24,29,58362000,14600,233400,175100,2800000,100000,2015,Jun,23,88.2,328239523,14.7,270663028,37.09024,-95.712891
81,Super Simple Songs - Kids Songs,39200000,44900897958,Education,Super Simple Songs - Kids Songs,744,Canada,CA,Education,19,2,8,560756000,140200,2200000,1700000,26900000,400000,2006,Sep,8,68.9,36991981,5.56,30628482,56.130366,-106.346771
82,Mikecrack,39100000,16118181673,Gaming,Mikecrack,1876,Spain,ES,Games,188,1,4,264108000,66000,1100000,792300,12700000,800000,2015,Jul,13,88.9,47076781,13.96,37927409,40.463667,-3.74922
83,WorkpointOfficial,39000000,36131228583,Entertainment,WorkpointOfficial,72580,Thailand,TH,Entertainment,27,1,24,130461000,32600,521800,391400,6300000,200000,2012,Nov,5,49.3,69625582,0.75,35294600,15.870032,100.992541
84,GR6 EXPLODE,38900000,25154232306,Music,GR6 EXPLODE,3043,Brazil,BR,Music,73,6,30,1635000000,408700,6500000,4900000,78500000,100000,2014,Aug,5,51.3,212559417,12.08,183241641,-14.235004,-51.92528
85,TEDx Talks,38600000,7339333120,Nonprofits & Activism,TEDx Talks,200933,United States,US,Nonprofit,768,25,1,45638000,11400,182600,136900,2200000,100000,2009,Jun,23,88.2,328239523,14.7,270663028,37.09024,-95.712891
86,shfa,38400000,21528116909,People & Blogs,ээээээээээ ээээээ,982,Saudi Arabia,SA,Games,150882,774,1454,1589000,397,6400,4800,76300,2000,2018,May,24,68,34268528,5.93,28807838,23.885942,45.079162
87,Goldmines Gaane Sune Ansune,38300000,16718192386,Music,Goldmines Gaane Sune Ansune,3532,India,IN,Music,170,22,31,814756000,203700,3300000,2400000,39100000,400000,2015,Aug,24,28.1,1366417754,5.36,471031528,20.593684,78.96288
88,One Direction,38200000,13598903820,Music,21 Savage,11,United States,US,Music,539848,2904,2594,6348,2,25,19,305,100,2016,Jun,26,88.2,328239523,14.7,270663028,37.09024,-95.712891
89,TheEllenShow,38200000,22756581750,Entertainment,TheEllenShow,15672,United States,US,Entertainment,93,26,26,21804000,5500,87200,65400,1000000,,2006,Nov,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
90,Sony PAL,38200000,28519339489,Shows,Sony PAL,24089,India,IN,Entertainment,49,23,25,415914000,104000,1700000,1200000,20000000,500000,2014,May,9,28.1,1366417754,5.36,471031528,20.593684,78.96288
91,Daddy Yankee,38000000,22731415608,Music,Daddy Yankee,505,United States,US,Music,92,27,33,205594000,51400,822400,616800,9900000,100000,2011,May,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
92,Vlad vпїЅпїЅп,37900000,23510152352,,Vlad vпїЅпїЅп,515,United States,US,Entertainment,84,28,27,244093000,61000,976400,732300,11700000,200000,2018,Jul,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
93,Like Nastya ESP,37600000,18208196857,Entertainment,Like Nastya ESP,743,United States,US,Entertainment,145,29,28,321026000,80300,1300000,963100,15400000,700000,2017,Apr,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
94,ээээээээээээ one31,37500000,27262462114,Entertainment,ээээээээээээ one31,117152,Thailand,TH,Entertainment,56,2,29,140754000,35200,563000,422300,6800000,300000,2013,Jan,10,49.3,69625582,0.75,35294600,15.870032,100.992541
95,Jkk Entertainment,37200000,16402066717,Comedy,Jkk Entertainment,220,India,IN,Comedy,178,24,3,49861000,12500,199400,149600,2400000,100000,2017,Mar,20,28.1,1366417754,5.36,471031528,20.593684,78.96288
96,ABP NEWS,37000000,13102611515,People & Blogs,ABP NEWS,301308,India,IN,News,280,25,2,267060000,66800,1100000,801200,12800000,400000,2012,Jun,1,28.1,1366417754,5.36,471031528,20.593684,78.96288
97,Maria Clara & JP,37000000,24188861917,People & Blogs,Maria Clara & JP,744,Brazil,BR,Entertainment,75,7,30,251449000,62900,1000000,754300,12100000,300000,2015,Sep,6,51.3,212559417,12.08,183241641,-14.235004,-51.92528
98,Bruno Mars,36700000,19378155425,Music,Bruno Mars,99,United States,US,Music,134,30,34,175243000,43800,701000,525700,8400000,200000,2006,Sep,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
99,Maroon 5,36600000,22553923546,Music,Maroon 5,171,United States,US,Music,96,31,35,152825000,38200,611300,458500,7300000,,2006,Mar,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
100,Ultra Bollywood,36600000,15653786446,Trailers,Ultra Bollywood,9168,India,IN,Entertainment,205,26,31,131462000,0,0,0,0,200000,2009,Oct,21,28.1,1366417754,5.36,471031528,20.593684,78.96288
101,PowerKids TV,36500000,18961241905,Film & Animation,PowerKids TV,5621,,,Film,139,1,6,318702000,79700,1300000,956100,15300000,600000,2014,Aug,6,,,,,,
102,YouTube,36300000,3010784935,News & Politics,YouTube,744,United States,US,Entertainment,2860,32,5,21103000,5300,84400,63300,1000000,300000,1970,Jan,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
103,News,36300000,0,,News,0,,,,4057944,,,,0,0,0,0,,2013,Sep,9,,,,,,
104,Ozuna,36200000,23355801606,Music,Ozuna,196,,,Music,87,2,36,169242000,42300,677000,507700,8100000,100000,2016,Mar,24,,,,,,
105,MrBeast Gaming,36100000,6331332547,Gaming,MrBeastGaming,5,,,Comedy,4057305,,4880,32,0.01,0.13,0.1,2,1,2011,Feb,26,,,,,,
106,La Granja de ZenпїЅ,35700000,27118354077,Music,La Granja de ZenпїЅ,654,Argentina,AR,Music,58,2,37,302071000,75500,1200000,906200,14500000,400000,2013,Jun,6,90,44938712,9.79,41339571,-38.416097,-63.616672
107,Saregama Music,35500000,15657673422,Entertainment,Saregama Music,7566,India,IN,Music,199,27,38,533793000,133400,2100000,1600000,25600000,900000,2013,Jan,4,28.1,1366417754,5.36,471031528,20.593684,78.96288
108,IndiaTV,35500000,16105023749,News & Politics,IndiaTV,273255,India,IN,News,185,27,3,290847000,72700,1200000,872500,14000000,600000,2006,Aug,26,28.1,1366417754,5.36,471031528,20.593684,78.96288
109,T-Series Bollywood Classics,35400000,22637783517,Music,T-Series Bollywood Classics,2010,India,IN,Music,94,28,39,331474000,82900,1300000,994400,15900000,500000,2012,Apr,2,28.1,1366417754,5.36,471031528,20.593684,78.96288
110,Total Gaming,35400000,5556364230,Gaming,totalgaming,1,,,Autos,4056447,,3902,53,0.01,0.21,0.16,3,2,2006,Jul,15,,,,,,
111,Markiplier,35200000,20297931219,Gaming,Markiplier,5490,United States,US,Games,119,34,8,127329000,31800,509300,382000,6100000,100000,2012,May,26,88.2,328239523,14.7,270663028,37.09024,-95.712891
112,Ryan's World,35200000,55299840198,Entertainment,Ryan's World,2453,United States,US,Entertainment,15,35,32,238613000,59700,954500,715800,11500000,200000,2015,Mar,17,88.2,328239523,14.7,270663028,37.09024,-95.712891
113,Genevieve's Playhouse - Learning Videos for Kids,34900000,25607397308,Education,Genevieve's Playhouse - Learning Videos for пїЅ,617,United States,US,Film,69,36,7,335307000,83800,1300000,1000000,16100000,300000,2016,Jan,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
114,T-Series Apna Punjab,34600000,21306315429,Music,T- Series Apna Punjab,0,,,News,4057944,,4653,,0,0,0,0,,2020,Jul,9,,,,,,
115,Techno Gamerz,34400000,9690499664,Gaming,TechnoGamerz,1,,,Games,4057311,,7489,86,0.02,0.34,0.26,4,3,2010,May,19,,,,,,
116,Geet MP3,34300000,12746535822,Music,Geet MP3,679,India,IN,Music,299,31,41,101357000,25300,405400,304100,4900000,100000,2016,Oct,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
117,J Balvin,34100000,23005313609,Music,J Balvin,141,Colombia,CO,Music,89,2,42,128696000,32200,514800,386100,6200000,100000,2011,Feb,18,55.3,50339443,9.71,40827302,4.570868,-74.297333
118,Jess No Limit,34000000,3963007415,Entertainment,Jess No Limit,2284,Indonesia,ID,Entertainment,1882,1,33,547141000,136800,2200000,1600000,26300000,5500000,2017,Sep,7,36.3,270203917,4.69,151509724,-0.789275,113.921327
119,Jingle Toons,34000000,11351015824,Film & Animation,Jingle Toons,240,India,IN,Film,360,32,8,179903000,45000,719600,539700,8600000,600000,2013,Jan,24,28.1,1366417754,5.36,471031528,20.593684,78.96288
120,VEGETTA777,33800000,15432929204,Gaming,VEGETTA777,7606,Spain,ES,Games,211,2,10,39094000,9800,156400,117300,1900000,,2008,Mar,2,88.9,47076781,13.96,37927409,40.463667,-3.74922
121,Galinha Pintadinha,33800000,27274550757,Film & Animation,Galinha Pintadinha,66,Brazil,BR,Film,54,8,9,403508000,100900,1600000,1200000,19400000,200000,2006,Aug,30,51.3,212559417,12.08,183241641,-14.235004,-51.92528
122,SSSniperWolf,33700000,23492684419,Gaming,SSSniperWolf,3366,United States,US,Entertainment,83,37,35,210955000,52700,843800,632900,10100000,200000,2013,Jan,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
123,Desi Music Factory,33700000,10189027455,Music,Desi music factory,2,,,Music,4057699,,5775,,0,0,0,0,,2018,Apr,10,,,,,,
124,Selena Gomez,33600000,13013567335,Film & Animation,Selena Gomez,188,United States,US,Music,288,38,43,115792000,28900,463200,347400,5600000,200000,2008,Feb,8,88.2,328239523,14.7,270663028,37.09024,-95.712891
125,Rajshri,33500000,14864294792,Music,Rajshri,3741,India,IN,Entertainment,222,34,36,272255000,68100,1100000,816800,13100000,500000,2006,Mar,24,28.1,1366417754,5.36,471031528,20.593684,78.96288
126,Ch3Thailand,33500000,29611914495,Entertainment,Ch3Thailand,96214,Thailand,TH,Entertainment,41,3,37,61307000,0,0,0,0,100000,2014,May,29,49.3,69625582,0.75,35294600,15.870032,100.992541
127,KHANDESHI MOVIES,33500000,11405809704,Comedy,KHANDESHI MOVIES,217,India,IN,Comedy,357,35,4,24736000,6200,98900,74200,1200000,100000,2013,Nov,11,28.1,1366417754,5.36,471031528,20.593684,78.96288
128,NoCopyrightSounds,33400000,10530729078,Music,NoCopyrightSounds,1331,United Kingdom,GB,Music,402,3,44,55654000,13900,222600,167000,2700000,,2011,Aug,14,60,66834405,3.85,55908316,55.378051,-3.435973
129,CVS 3D Rhymes & Kids Songs,33400000,20269857567,Education,CVS 3D Rhymes & Kids Songs,338,India,IN,Education,120,35,9,136084000,34000,544300,408300,6500000,200000,2008,Aug,26,28.1,1366417754,5.36,471031528,20.593684,78.96288
